model,experiment_date,dataset,seed,split,threshold,train_macro_f1,validation_macro_f1,validation_auc,test_macro_f1,test_auc,training_seconds,status,source_file
cola,2026-08-26,china,1,0,0.9215409755706788,0.4893617021276595,0.5239937417973368,0.6529383887704248,0.5181633457769129,0.6220018156633723,14.173537112001211,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,china,2,0,0.8569981455802917,0.5213675213675213,0.4361501049836158,0.6217339710732136,0.431743129770844,0.614994080375861,15.34025537100024,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,china,3,0,0.8604252934455872,0.4947368421052631,0.4808467780269202,0.6372476745899899,0.4753154732707657,0.6342394101901767,14.563428262001253,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,china,4,0,0.7615986466407776,0.8222222222222222,0.4992211080508266,0.7071820490030398,0.4941522490327955,0.6711128191449536,14.33504956899924,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,china,5,0,0.898327648639679,0.4893617021276595,0.5158510908497415,0.6205601294411047,0.4991128433882637,0.5717857376834381,14.666540353999151,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,cuba,1,0,0.9474511742591858,1.0,0.4940652075925276,0.4788411228947925,0.4940529735132434,0.4402870454118811,35.2471115499975,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,cuba,2,0,0.9297736287117004,1.0,0.4976558884640327,0.4882227291945599,0.494234588181911,0.4916546440856559,34.04947250500118,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,cuba,3,0,0.907203733921051,1.0,0.4682920914086752,0.3741151962511451,0.4738329055976789,0.4103658058980003,33.900291474998085,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,cuba,4,0,0.9345970749855042,1.0,0.4845963153294023,0.2984699809738566,0.4874363686004994,0.337846122340209,35.23777327599964,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,cuba,5,0,0.9468194842338562,1.0,0.4993960024852176,0.4397690437601296,0.5001381708282636,0.4627074633644936,34.085164449999866,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,iran,1,0,0.8070178627967834,0.8500000000000001,0.667893749775152,0.7611029893920553,0.6703970121630208,0.7680683103611399,12.351606522999646,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,iran,2,0,0.8769766092300415,0.8611111111111112,0.6198105726213098,0.754405619557041,0.6220163912389819,0.7585366544147136,13.146366772001784,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,iran,3,0,0.8348180055618286,0.784688995215311,0.6781862273052226,0.7721252075205217,0.6661357032638036,0.7698777932783943,12.861193221000576,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,iran,4,0,0.7602178454399109,0.7321428571428572,0.5416374476531745,0.7621726000539498,0.5367613353546243,0.7619201401940775,13.357055868000316,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
